path_in_rawtiffs,old_row_filename,location,date,new_row_filename,reason
03-19-2026/archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Twin_Cities.pdf,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Twin_Cities.tif,Twin Cities,2026-03-19,acasis_sec_03-19-2026_Twin_Cities.zip,superseded by FAA original
03-19-2026/archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Twin_Cities.tif,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Twin_Cities.tif,Twin Cities,2026-03-19,acasis_sec_03-19-2026_Twin_Cities.zip,superseded by FAA original
03-19-2026/archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Washington.pdf,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Washington.tif,Washington,2026-03-19,acasis_sec_03-19-2026_Washington.zip,superseded by FAA original
03-19-2026/archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Washington.tif,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Washington.tif,Washington,2026-03-19,acasis_sec_03-19-2026_Washington.zip,superseded by FAA original
03-19-2026/web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Charlotte.pdf,web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Charlotte.tif,Charlotte,2026-03-19,acasis_sec_03-19-2026_Charlotte.zip,superseded by FAA original
03-19-2026/web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Dutch_Harbor.pdf,web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Dutch_Harbor.tif,Dutch Harbor,2026-03-19,acasis_sec_03-19-2026_Dutch_Harbor.zip,superseded by FAA original
03-19-2026/web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Dutch_Harbor.tif,web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Dutch_Harbor.tif,Dutch Harbor,2026-03-19,acasis_sec_03-19-2026_Dutch_Harbor.zip,superseded by FAA original
03-19-2026/web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Hawaiian_Islands.pdf,web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Hawaiian_Islands.tif,Hawaiian Islands,2026-03-19,acasis_sec_03-19-2026_Hawaiian_Islands.zip,superseded by FAA original
03-19-2026/web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Hawaiian_Islands.tif,web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Hawaiian_Islands.tif,Hawaiian Islands,2026-03-19,acasis_sec_03-19-2026_Hawaiian_Islands.zip,superseded by FAA original
03-19-2026/web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Kodiak.pdf,web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Kodiak.tif,Kodiak,2026-03-19,acasis_sec_03-19-2026_Kodiak.zip,superseded by FAA original
03-19-2026/web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Kodiak.tif,web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Kodiak.tif,Kodiak,2026-03-19,acasis_sec_03-19-2026_Kodiak.zip,superseded by FAA original
03-19-2026/web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Seward.pdf,web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Seward.tif,Seward,2026-03-19,acasis_sec_03-19-2026_Seward.zip,superseded by FAA original
03-19-2026/web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Seward.tif,web.archive.org_web_20260329031545_aeronav.faa.gov_visual_03-19-2026_PDFs_Seward.tif,Seward,2026-03-19,acasis_sec_03-19-2026_Seward.zip,superseded by FAA original
11-27-2025/web.archive.org_web_20251223180751_aeronav.faa.gov_visual_11-27-2025_PDFs_Hawaiian_Islands.pdf,web.archive.org_web_20251223180751_aeronav.faa.gov_visual_11-27-2025_PDFs_Hawaiian_Islands.tif,Hawaiian Islands,2025-11-27,acasis_sec_11-27-2025_Hawaiian_Islands.zip,superseded by FAA original
11-27-2025/web.archive.org_web_20251223180751_aeronav.faa.gov_visual_11-27-2025_PDFs_Hawaiian_Islands.tif,web.archive.org_web_20251223180751_aeronav.faa.gov_visual_11-27-2025_PDFs_Hawaiian_Islands.tif,Hawaiian Islands,2025-11-27,acasis_sec_11-27-2025_Hawaiian_Islands.zip,superseded by FAA original
11-27-2025/web.archive.org_web_20251225041526_aeronav.faa.gov_visual_11-27-2025_PDFs_Denver.pdf,web.archive.org_web_20251225041526_aeronav.faa.gov_visual_11-27-2025_PDFs_Denver.tif,Denver,2025-11-27,acasis_sec_11-27-2025_Denver.zip,superseded by FAA original
11-27-2025/web.archive.org_web_20251225041526_aeronav.faa.gov_visual_11-27-2025_PDFs_Denver.tif,web.archive.org_web_20251225041526_aeronav.faa.gov_visual_11-27-2025_PDFs_Denver.tif,Denver,2025-11-27,acasis_sec_11-27-2025_Denver.zip,superseded by FAA original
archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Anchorage.tif,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Anchorage.tif,Anchorage,2026-03-19,acasis_sec_03-19-2026_Anchorage.zip,superseded by FAA original
archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Atlanta.tif,archive.org_download_faa-visual-flight-rules-charts_Sectional_Charts_Atlanta.tif,Atlanta,2026-03-19,acasis_sec_03-19-2026_Atlanta.zip,superseded by FAA original
