URL,MIME Type,First Capture,Last Capture,Total Captures,File Size (bytes),Content Digest (SHA-1)
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Cheyenne.pdf,application/pdf,20240321141847,20240521105135,3,160486121,EGKGW53B2Z3YKVLAE6PFB7LVHLIR4NRQ
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Chicago.pdf,application/pdf,20240206052008,20240420180130,2,149585969,ASIX45AJTE2UK2LYVUVDMJAAO3S74WW7
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Chicago.pdf?ref=beautifulpublicdata.com,application/pdf,20240206051356,20240415054511,3,149585970,ASIX45AJTE2UK2LYVUVDMJAAO3S74WW7
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Chicago_Heli.pdf,application/pdf,20240321142003,20240517183253,3,44385228,YJJHSRAWS3VN4EPXMVKNMXG263BCFKSR
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Chicago_TAC.pdf,application/pdf,20240321141843,20240527234947,3,33125389,CKEAQ47LEYYUX7CQULZV2S5O364LGLRZ
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Cincinnati.pdf,application/pdf,20240520184550,20240520184550,1,181262279,QZZCZT3O4IINE3FR6KQBKN7NRTGSIWUY
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Cincinnati_TAC.pdf,application/pdf,20240420173005,20240519111742,2,1046397,T623ZQZGM5SHG4HSYRYTKFKZDURHU2XI
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Cleveland_TAC.pdf,application/pdf,20240222084937,20240520025243,4,22998221,7NBQZEOGEVQASNH3DRWP2PDRRZFQOXFW
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Cold_Bay.pdf,application/pdf,20240420175754,20240525154114,2,1048846,N3OKCRBVPD2F7YP6ZA4H4RF5UI4UL4RC
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Dallas-Ft_Worth.pdf,application/pdf,20240420163856,20240521214724,2,1048997,OIUAJ6J7AO4QWVZVD47B3LQDAPIFWZRN
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Dallas-Ft_Worth_Heli.pdf,application/pdf,20240420161610,20240519135935,2,1046523,LKPOAMVIL5OWB3NIRLFPUTUKUNP5M55L
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Dallas-Ft_Worth_TAC.pdf,application/pdf,20240420175255,20240519202814,2,1045427,QOGEJQ7RYMHE6IPHUYLNPSMNXHFBRAPN
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Dawson.pdf,application/pdf,20240420171414,20240520044355,2,1048714,FLXIAHVGGQWEJVEXFVIXLARJYVCJE3EO
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Denver.pdf,application/pdf,20240420162904,20240529023609,2,1049066,RZEDUQWT2TEULWESCRU45EDIKDT6GWNX
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Denver_TAC.pdf,application/pdf,20240321141853,20240518093220,3,98888724,KRTQNMMB3NT6AZ6M3O4HLWXF6F4FAMFC
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Detroit.pdf,application/pdf,20240420172045,20240519075329,2,1048764,HRK5ZLJCQJASRLKDRUE7JZHBSML7BZRW
https://aeronav.faa.gov/visual/01-25-2024/PDFs/Detroit_Heli.pdf,application/pdf,20240420173216,20240602152732,2,1047773,WYHJCZ7OFYL6HGZUWT47NW4B5EH6A42Y
