date_iso,url
2020-01-30_to_2021-01-28,https://data.archive.aero/sectionals/2020-01-30_to_2021-01-28.pmtiles
2020-01-30_to_2020-08-13,https://data.archive.aero/sectionals/2020-01-30_to_2020-08-13.pmtiles
2020-01-30_to_2020-07-16,https://data.archive.aero/sectionals/2020-01-30_to_2020-07-16.pmtiles
2020-01-02_to_2020-07-16,https://data.archive.aero/sectionals/2020-01-02_to_2020-07-16.pmtiles
2020-01-02_to_2020-06-18,https://data.archive.aero/sectionals/2020-01-02_to_2020-06-18.pmtiles
2019-12-05_to_2020-06-18,https://data.archive.aero/sectionals/2019-12-05_to_2020-06-18.pmtiles
2019-12-05_to_2020-05-21,https://data.archive.aero/sectionals/2019-12-05_to_2020-05-21.pmtiles
2019-11-07_to_2020-11-05,https://data.archive.aero/sectionals/2019-11-07_to_2020-11-05.pmtiles
2019-11-07_to_2020-05-21,https://data.archive.aero/sectionals/2019-11-07_to_2020-05-21.pmtiles
2019-11-07_to_2020-04-23,https://data.archive.aero/sectionals/2019-11-07_to_2020-04-23.pmtiles
2019-10-10_to_2020-10-08,https://data.archive.aero/sectionals/2019-10-10_to_2020-10-08.pmtiles
2019-10-10_to_2020-04-23,https://data.archive.aero/sectionals/2019-10-10_to_2020-04-23.pmtiles
2019-10-10_to_2020-03-26,https://data.archive.aero/sectionals/2019-10-10_to_2020-03-26.pmtiles
2019-09-12_to_2020-03-26,https://data.archive.aero/sectionals/2019-09-12_to_2020-03-26.pmtiles
2019-09-12_to_2020-02-27,https://data.archive.aero/sectionals/2019-09-12_to_2020-02-27.pmtiles
2019-08-15_to_2020-02-27,https://data.archive.aero/sectionals/2019-08-15_to_2020-02-27.pmtiles
2019-08-15_to_2020-01-30,https://data.archive.aero/sectionals/2019-08-15_to_2020-01-30.pmtiles
2019-07-18_to_2020-07-16,https://data.archive.aero/sectionals/2019-07-18_to_2020-07-16.pmtiles
2019-07-18_to_2020-01-30,https://data.archive.aero/sectionals/2019-07-18_to_2020-01-30.pmtiles
2019-07-18_to_2020-01-02,https://data.archive.aero/sectionals/2019-07-18_to_2020-01-02.pmtiles
2019-06-20_to_2020-06-18,https://data.archive.aero/sectionals/2019-06-20_to_2020-06-18.pmtiles
2019-06-20_to_2020-01-02,https://data.archive.aero/sectionals/2019-06-20_to_2020-01-02.pmtiles
2019-06-20_to_2019-12-05,https://data.archive.aero/sectionals/2019-06-20_to_2019-12-05.pmtiles
2019-05-23_to_2019-12-05,https://data.archive.aero/sectionals/2019-05-23_to_2019-12-05.pmtiles
2019-05-23_to_2019-11-07,https://data.archive.aero/sectionals/2019-05-23_to_2019-11-07.pmtiles
2019-04-25_to_2020-04-23,https://data.archive.aero/sectionals/2019-04-25_to_2020-04-23.pmtiles
2019-04-25_to_2019-11-07,https://data.archive.aero/sectionals/2019-04-25_to_2019-11-07.pmtiles
2019-04-25_to_2019-10-10,https://data.archive.aero/sectionals/2019-04-25_to_2019-10-10.pmtiles
