filename,location,date,field,old,new,how
ca002369r.tif,"Miles City, MT",1957-10-24,end_date,,1958-10-23,"snapped to next edition start (loc median +-6y (n=9), typ 367d); was missing"
ca002366r.tif,"Miles City, MT",1960-11-03,end_date,,1961-11-07,"date + typical period (loc median +-6y (n=7), typ 369d); was missing"
ca002355r.tif,"Miles City, MT",1971-04-29,end_date,1971-04-29,1971-11-11,"date + typical period (loc median +-6y (n=9), typ 196d); was zero-length"
ca002353.tif,"Milwaukee, WI",1931-06-01,end_date,,1931-12-30,"date + typical period (loc median +-6y (n=6), typ 212d); was missing"
ca002346.tif,"Milwaukee, WI",1937-06-01,end_date,,1938-01-01,"date + typical period (loc median +-6y (n=9), typ 214d); was missing"
ca002342.tif,"Milwaukee, WI",1942-06-30,end_date,,1943-01-14,"date + typical period (loc median +-6y (n=13), typ 198d); was missing"
ca002308r.tif,"Milwaukee, WI",1960-11-30,end_date,,1961-06-12,"date + typical period (loc median +-6y (n=13), typ 194d); was missing"
ca002432.tif,"Minot, ND",1939-07-01,end_date,,1940-01-13,"date + typical period (loc median +-6y (n=8), typ 196d); was missing"
ca002417.tif,"Minot, ND",1949-11-13,end_date,,1950-05-20,"date + typical period (loc median +-6y (n=16), typ 188d); was missing"
ca002406r.tif,"Minot, ND",1960-04-11,end_date,,1961-03-26,"date + typical period (loc median +-6y (n=9), typ 349d); was missing"
ca002442r.tif,"Mobile, AL",1961-02-24,end_date,,1961-08-30,"date + typical period (loc median +-6y (n=15), typ 187d); was missing"
ca002529.tif,"Mt. Shasta, CA",1936-10-01,end_date,,1937-07-15,"date + typical period (loc median +-6y (n=3), typ 287d); was missing"
ca002528.tif,"Mt. Shasta, CA",1938-12-01,end_date,,1939-08-17,"date + typical period (loc median +-6y (n=6), typ 259d); was missing"
ca002493r.tif,"Mt. Shasta, CA",1960-10-21,end_date,,1961-04-22,"date + typical period (loc median +-6y (n=13), typ 183d); was missing"
ca002540r.tif,"Mt. Whitney, CA",1960-09-23,end_date,,1961-03-25,"date + typical period (loc median +-6y (n=14), typ 183d); was missing"
ca002625.tif,"Nashville, TN",1937-11-01,end_date,,1938-05-26,"date + typical period (loc median +-6y (n=7), typ 206d); was missing"
ca002624.tif,"Nashville, TN",1939-06-01,end_date,,1939-12-14,"date + typical period (loc median +-6y (n=10), typ 196d); was missing"
ca002590r.tif,"Nashville, TN",1960-12-12,end_date,,1961-06-23,"date + typical period (loc median +-6y (n=14), typ 193d); was missing"
ca002582r.tif,"Nashville, TN",1965-07-01,end_date,,1965-07-22,"snapped to next edition start (loc median +-6y (n=9), typ 196d); was missing"
ca002580r.tif,"Nashville, TN",1969-07-24,end_date,,1970-02-05,"date + typical period (loc median +-6y (n=8), typ 196d); was missing"
ca002671.tif,"New Orleans, LA",1935-08-01,end_date,,1936-02-04,"date + typical period (loc median +-12y (n=9), typ 187d); was missing"
ca002669.tif,"New Orleans, LA",1939-05-01,end_date,,1939-11-29,"date + typical period (loc median +-6y (n=5), typ 212d); was missing"
ca002634r.tif,"New Orleans, LA",1961-03-01,end_date,,1961-09-06,"date + typical period (loc median +-6y (n=13), typ 189d); was missing"
ca002721.tif,"New York, NY",1940-03-01,end_date,,1940-09-29,"date + typical period (loc median +-6y (n=19), typ 212d); was missing"
ca002683r.tif,"New York, NY",1961-01-16,end_date,,1961-07-19,"date + typical period (loc median +-6y (n=14), typ 184d); was missing"
ca002743r.tif,"Norfolk, VA",1961-01-17,end_date,,1961-07-11,"date + typical period (loc median +-6y (n=16), typ 175d); was missing"
ca002839.tif,"Oklahoma City, OK",1932-06-01,end_date,,1933-01-01,"date + typical period (loc median +-6y (n=7), typ 214d); was missing"
ca002795r.tif,"Oklahoma City, OK",1961-02-16,end_date,,1961-08-19,"date + typical period (loc median +-6y (n=14), typ 184d); was missing"
